EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
7129,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,73.84,100,1.5,0,2333,-42.0375,145.5875
7130,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,62.609,100,1.5,1.5707963,2726,-42.9375,147.2125
7131,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,57.813,100,1.5,1.5707963,2321,-42.0875,145.5875
7132,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,49.595,100,1.5,0.7853982,1910,-42.2375,146.1875
7133,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,41.515,100,1.5,1.5707963,2460,-42.9375,147.2875
7134,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,393.963,100,1.5,0,1703,-34.5875,150.7125
7135,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,261.129,100,1.5,0,2282,-34.4125,150.8375
7136,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,243.664,100,1.5,1.5707963,2443,-34.7125,150.6375
7137,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,218.867,100,1.5,1.5707963,1768,-34.6875,150.6625
7138,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,207.761,100,1.5,0,1311,-34.6125,150.5875
7139,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,89.628,200,1.5,2.3561945,3134,-41.3375,147.4875
7140,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,89.259,200,2.3,0,982,-41.4125,147.8375
7141,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,77.785,200,2.3,0,2991,-41.9375,145.6375
7142,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,76.986,200,2.3,1.5707963,2954,-41.2875,147.6375
7143,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,69.649,200,1.5,1.5707963,3344,-41.8625,145.7125
7144,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,65.488,200,2.3,1.5707963,1992,-41.8125,146.6125
7145,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,62.105,200,2.3,0.7853982,2126,-42.7875,146.0875
7146,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,62.012,200,2.3,1.5707963,1792,-41.7875,146.7375
7147,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,61.896,200,1.5,0.7853982,1821,-41.2625,146.3125
7148,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,59.104,200,2.3,1.5707963,3145,-41.2875,146.1625
7149,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,86.552,500,1.5,0.7853982,982,-41.4125,147.8375
7150,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,83.875,500,1.5,2.3561945,3134,-41.3875,147.4875
7151,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,82.735,500,1.5,1.5707963,2302,-41.3375,147.6625
7152,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,79.691,500,2.3,0,200,-41.7625,147.8375
7153,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,63.707,500,1.5,0.7853982,2885,-41.3125,147.7375
7154,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,55.714,500,1.5,0.7853982,2947,-42.4125,146.4375
7155,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,249.757,500,1.5,2.3561945,1703,-34.6125,150.6875
7156,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,196.645,500,2.3,2.3561945,2444,-34.7625,150.5375
7157,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,158.692,500,1.5,0,1969,-34.6125,150.5625
7158,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,157.451,500,1.5,0.7853982,2259,-34.6875,150.5625
7159,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,76.19,1000,1.5,1.5707963,3134,-41.3875,147.5125
7160,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,62.7,1000,2.3,2.3561945,2236,-41.5375,146.1625
7161,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,61.94,1000,3.6,1.5707963,1991,-41.5375,146.1125
7162,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,61.23,1000,2.3,0.7853982,2990,-41.9375,145.6625
7163,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,59.01,1000,2.3,1.5707963,2558,-41.2375,146.4125
7164,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,58.55,1000,2.3,0,2334,-43.0375,147.2625
7165,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,57.79,1000,3.6,0.7853982,63,-42.0875,147.9125
7166,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,56.13,1000,2.3,1.5707963,1790,-41.3875,146.5625
7167,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,54.84,1000,3.6,0,2323,-42.8375,147.0625
7168,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,53.24,1000,2.3,1.5707963,3145,-41.2875,146.1625
7169,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,76.51,2500,1.5,1.570796,919,-41.2375,147.7625
7170,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,69.08,2500,2.3,0,202,-41.8375,147.8625
7171,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,66.08,2500,1.5,0,2302,-41.2375,147.7125
7172,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,58.22,2500,1.5,0,3135,-41.5875,147.4625
7173,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,57.98,2500,1.5,1.570796,1991,-41.5375,146.0625
7174,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,56.37,2500,1.5,2.356194,1037,-41.2875,147.7125
7175,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,57.21,2500,2.3,2.356194,227,-41.8375,147.7625
7176,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,52.73,2500,1.5,2.356194,2236,-41.4875,146.1125
7177,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,53.38,2500,1.5,1.570796,2322,-42.7875,147.0625
7178,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,52.6,2500,3.6,1.570796,1392,-41.2875,146.5625
7179,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,57.15,5000,3.6,1.5707963,3134,-41.3875,147.1125
7180,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,54.66,5000,3.6,1.5707963,2300,-41.2875,147.2125
7181,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,53.15,5000,1.5,1.5707963,2949,-41.3875,146.5125
7182,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,51.03,5000,3.6,0.7853982,213,-42.2875,147.5125
7183,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,49.26,5000,1.5,0.7853982,2460,-41.4875,147.8125
7184,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,47.57,5000,3.6,1.5707963,2557,-41.2875,146.2125
7185,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,42.06,5000,1.5,0.7853982,1993,-41.7875,145.9125
7186,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,43.96,5000,1.5,1.5707963,1822,-41.3875,146.6125
7187,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,43.41,5000,3.6,1.5707963,1391,-41.2875,146.7125
7188,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,42.54,5000,1.5,0,1789,-41.5875,146.9125
7189,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,52.49,10000,2.3,0.7853982,338,-42.7875,147.0125
7190,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,50.95,10000,2.3,1.5707963,3134,-41.3875,147.1125
7191,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,48.81,10000,1.5,0,2323,-42.6875,147.0125
7192,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,47.01,10000,1.5,0.7853982,213,-42.1875,147.6125
7193,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,47.62,10000,3.6,1.5707963,2302,-41.3875,147.1125
7194,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,45.18,10000,1.5,1.5707963,201,-41.7875,147.6125
7195,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,44.76,10000,1.5,2.3561945,26,-42.3875,146.4125
7196,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,42.37,10000,3.6,0.7853982,981,-41.6875,147.4125
7197,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,40.44,10000,2.3,1.5707963,2559,-41.3875,147.1125
7198,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,37.6,10000,1.5,0.7853982,3539,-42.3875,147.7125
7199,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,34.84,20000,1.5,1.5707963,2301,-41.4875,147.2625
7200,Southern Slopes (Tasmania),Southern Slopes (Tasmania),720,30,33.07,20000,1.5,1.5707963,3135,-41.4875,147.2625
7201,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,91.94,20000,1.5,0.7853982,182,-34.8625,150.1375
7202,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,76.86,20000,1.5,0,2233,-36.8625,148.8875
7203,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,77.47,20000,1.5,0.7853982,3052,-37.9875,146.6375
7204,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,74.49,20000,3.6,0.7853982,1313,-34.8625,150.1375
7205,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,70.87,20000,2.3,0,2514,-36.2375,149.6375
7206,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,69.52,20000,2.3,0,784,-34.9875,149.8875
7207,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,66.06,20000,3.6,0.7853982,567,-35.1125,150.0125
7208,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,59.82,20000,2.3,0.7853982,1033,-34.8625,150.0125
7209,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,70.71,40000,2.3,0.7853982,182,-34.7375,150.0125
7210,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,64.17,40000,1.5,0.7853982,2233,-36.8625,148.7625
7211,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,60.02,40000,2.3,1.5707963,3052,-37.4875,146.5125
7212,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,48.86,40000,1.5,0.7853982,971,-37.2375,147.2625
7213,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,42.8,40000,3.6,0.7853982,1310,-34.9875,149.8875
7214,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,41.57,40000,1.5,1.5707963,2516,-36.7375,148.8875
7215,Southern Slopes (Tasmania),Southern Slopes (mainland),720,30,35,40000,1.5,0.7853982,2643,-36.8625,148.8875
7216,Southern Slopes (Tasmania),East Coast (South),720,30,62.16,40000,3.6,0.7853982,779,-32.9875,151.1375
7217,Southern Slopes (Tasmania),East Coast (South),720,30,63.45,40000,2.3,0,562,-34.4875,150.2625
7218,Southern Slopes (Tasmania),East Coast (South),720,30,52.1,40000,3.6,1.5707963,3315,-32.3625,150.5125
7219,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,78,100,3.6,1.5707963,1995,-42.1125,145.7125
7220,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,68.894,100,1.5,1.5707963,2043,-42.1875,145.6625
7221,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,67.958,100,1.5,0.7853982,1909,-42.2375,146.1875
7222,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,562.019,100,1.5,0,1701,-34.5625,150.7125
7223,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,306.34,100,1.5,1.5707963,1765,-34.6875,150.6625
7224,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,286.189,100,1.5,1.5707963,2437,-34.7125,150.6375
7225,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,248.921,100,1.5,1.5707963,1089,-34.7125,150.6125
7226,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,248.011,100,1.5,0,1028,-34.6125,150.6125
7227,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,245.272,100,1.5,0,1308,-34.6125,150.5875
7228,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,236.537,100,1.5,1.5707963,1515,-34.7125,150.6375
7229,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,99.788,200,2.3,0,1035,-41.4125,147.8125
7230,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,92.505,200,1.5,2.3561945,3346,-41.8375,145.7375
7231,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,85.116,200,1.5,0.7853982,1819,-41.3125,146.3125
7232,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,80.266,200,2.3,1.5707963,2883,-41.2875,147.6375
7233,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,76.796,200,2.3,1.5707963,3144,-41.2875,146.1625
7234,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,76.376,200,2.3,2.3561945,3539,-42.8375,147.2875
7235,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,76.071,200,2.3,1.5707963,1994,-42.0625,145.7625
7236,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,75.542,200,2.3,0.7853982,2297,-41.3625,146.3875
7237,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,75.501,200,2.3,1.5707963,1832,-41.7875,146.7375
7238,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,72.357,200,2.3,0.7853982,2556,-41.3625,146.5125
7239,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,117.384,500,2.3,0,199,-41.8625,147.8375
7240,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,110.448,500,1.5,1.5707963,2301,-41.3375,147.6625
7241,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,90.965,500,1.5,0,62,-42.1375,147.8125
7242,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,87.577,500,1.5,1.5707963,2332,-43.0125,147.1875
7243,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,86.143,500,2.3,0,2867,-41.2625,145.5375
7244,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,82.142,500,1.5,1.5707963,1819,-41.3375,146.3375
7245,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,80.763,500,1.5,2.3561945,3346,-41.8625,145.7375
7246,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,78.707,500,1.5,0.7853982,2883,-41.3125,147.7375
7247,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,73.682,500,1.5,0.7853982,2297,-41.3625,146.4125
7248,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,49.176,500,1.5,0.7853982,3345,-42.6625,146.7125
7249,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,92.8,1000,3.6,0,2301,-41.2375,147.7625
7250,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,79.84,1000,1.5,0,3131,-41.4875,147.4625
7251,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,78,1000,2.3,1.5707963,2332,-42.9875,147.0625
7252,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,76.51,1000,1.5,0.7853982,2458,-41.4875,147.8125
7253,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,73.81,1000,2.3,2.3561945,1814,-41.4375,145.8625
7254,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,72.31,1000,2.3,1.5707963,1960,-42.7375,146.2625
7255,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,70.02,1000,2.3,1.5707963,3144,-41.2875,146.1125
7256,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,68.25,1000,2.3,1.5707963,1831,-41.4875,146.1125
7257,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,63.25,1000,2.3,0,1668,-41.4375,146.3125
7258,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,62.14,1000,2.3,2.3561945,3348,-41.3375,145.4625
7259,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,106.62,2500,2.3,0,198,-41.8375,147.8625
7260,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,90.62,2500,1.5,1.5707963,2301,-41.2875,147.7125
7261,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,80.5,2500,2.3,2.3561945,226,-41.8375,147.7625
7262,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,75.45,2500,2.3,0.7853982,3133,-41.3375,147.5625
7263,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,74.21,2500,1.5,2.3561945,2867,-41.1875,145.4125
7264,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,73.76,2500,1.5,0.7853982,986,-41.4875,147.8125
7265,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,71.55,2500,2.3,2.3561945,62,-42.0875,147.6625
7266,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,68.53,2500,1.5,0.7853982,2332,-43.0375,147.0625
7267,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,68.52,2500,2.3,1.5707963,2555,-41.1375,145.5625
7268,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,68.71,2500,1.5,2.3561945,1820,-41.4875,146.4625
7269,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,76.73,5000,1.5,0.7853982,2302,-41.2875,147.7125
7270,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,66.28,5000,1.5,1.5707963,1818,-41.3875,146.2125
7271,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,61.71,5000,3.6,1.5707963,2555,-41.2875,146.2125
7272,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,61.96,5000,3.6,0.7853982,211,-42.2875,147.5125
7273,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,61.02,5000,1.5,0,2459,-41.4875,147.9125
7274,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,59.77,5000,1.5,2.3561945,1959,-42.9875,146.3125
7275,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,56.65,5000,2.3,0,2332,-42.7875,147.1125
7276,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,56.22,5000,3.6,1.5707963,502,-41.2875,147.2125
7277,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,52.74,5000,1.5,0.7853982,1990,-41.7875,145.8125
7278,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,52.54,5000,1.5,1.5707963,2884,-41.1875,147.6125
7279,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,64.36,10000,2.3,1.5707963,2298,-41.3875,147.1125
7280,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,57.63,10000,1.5,0.7853982,211,-42.1875,147.6125
7281,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,56.4,10000,2.3,1.5707963,1818,-41.3875,146.4125
7282,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,53.37,10000,1.5,2.3561945,1961,-42.9875,146.5125
7283,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,53.52,10000,2.3,1.5707963,2945,-41.3875,147.1125
7284,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,52.94,10000,2.3,1.5707963,2557,-41.3875,147.1125
7285,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,52.64,10000,3.6,1.5707963,979,-41.2875,147.1125
7286,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,51.19,10000,1.5,0,2332,-42.7875,147.0125
7287,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,49.49,10000,2.3,1.5707963,1036,-41.1875,147.3125
7288,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,49.26,10000,2.3,1.5707963,502,-41.1875,147.3125
7289,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,44.73,20000,1.5,1.5707963,2301,-41.4875,147.2625
7290,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,42.28,20000,1.5,1.5707963,3133,-41.4875,147.2625
7291,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1080,60,40.23,20000,1.5,1.5707963,2950,-41.4875,147.2625
7292,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,111.11,20000,1.5,0.7853982,179,-34.8625,150.1375
7293,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,103.15,20000,3.6,0.7853982,562,-34.8625,150.1375
7294,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,98.79,20000,3.6,0.7853982,1310,-34.8625,150.1375
7295,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,100.96,20000,2.3,0,784,-34.9875,149.8875
7296,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,99.22,20000,1.5,0,2231,-36.8625,148.8875
7297,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,93.88,20000,1.5,1.5707963,3049,-37.9875,146.1375
7298,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,89.16,20000,1.5,0.7853982,3326,-37.7375,146.6375
7299,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,81.84,40000,1.5,0.7853982,2233,-36.8625,148.8875
7300,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,77.25,40000,3.6,1.5707963,3052,-37.6125,145.1375
7301,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,68.04,40000,1.5,0,2153,-34.9875,150.0125
7302,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,61.36,40000,3.6,0.7853982,1310,-34.8625,150.0125
7303,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,63.5,40000,1.5,1.5707963,324,-37.7375,144.6375
7304,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,58.7,40000,1.5,0,1030,-34.9875,150.0125
7305,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,58.68,40000,1.5,0.7853982,3324,-37.3625,147.1375
7306,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,52.06,40000,1.5,0.7853982,1363,-34.8625,149.8875
7307,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,53.01,40000,2.3,1.5707963,3376,-38.1125,145.7625
7308,Southern Slopes (Tasmania),Southern Slopes (mainland),1080,60,46.91,40000,1.5,2.3561945,2113,-36.3625,148.8875
7309,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,104.567,100,1.5,0,2330,-42.0375,145.5875
7310,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,90.434,100,3.6,1.5707963,1992,-42.0625,145.7125
7311,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,78.482,100,1.5,0.7853982,1908,-42.2375,146.1875
7312,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,60.318,100,3.6,1.5707963,2903,-42.8375,147.4375
7313,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,607.245,100,1.5,0,1698,-34.5625,150.7125
7314,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,378.423,100,1.5,1.5707963,1763,-34.6875,150.6625
7315,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,283.84,100,1.5,0,1311,-34.6125,150.5875
7316,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,283.783,100,1.5,0,1024,-34.6125,150.6125
7317,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,273.392,100,1.5,1.5707963,1511,-34.7125,150.6125
7318,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,268.174,100,1.5,1.5707963,1088,-34.7125,150.6125
7319,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,143.707,200,2.3,0.7853982,983,-41.3875,147.8625
7320,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,115.602,200,1.5,2.3561945,3343,-41.8375,145.7125
7321,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,100.073,200,1.5,0.7853982,1816,-41.3375,146.3125
7322,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,95.721,200,1.5,0.7853982,1992,-42.0125,145.7625
7323,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,91.104,200,2.3,1.5707963,3142,-41.2875,146.1625
7324,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,75.049,200,3.6,0,1958,-42.4375,146.2625
7325,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,74.155,200,2.3,0.7853982,1908,-42.2625,146.2125
7326,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,61.029,200,2.3,0,2132,-41.5625,146.7125
7327,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,57.951,200,3.6,0.7853982,3342,-42.5625,146.6375
7328,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,526.951,200,2.3,0,1698,-34.5625,150.7125
7329,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,149.532,500,2.3,0,195,-41.8375,147.8375
7330,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,101.753,500,1.5,2.3561945,3343,-41.8625,145.7375
7331,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,100.427,500,1.5,2.3561945,1958,-42.7375,146.1125
7332,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,96.784,500,1.5,1.5707963,1816,-41.3625,146.3375
7333,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,87.122,500,2.3,1.5707963,3142,-41.2875,146.1125
7334,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,59.405,500,1.5,0.7853982,3342,-42.6625,146.6875
7335,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,410.77,500,1.5,2.3561945,1698,-34.5875,150.7125
7336,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,267.91,500,1.5,2.3561945,1764,-34.6875,150.6125
7337,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,245.04,500,2.3,0,557,-34.8875,150.3125
7338,Southern Slopes (Tasmania),Southern Slopes (mainland),1440,60,233.989,500,1.5,1.5707963,3327,-37.5125,146.8875
7339,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,146.46,1000,2.3,0,197,-41.8375,147.8125
7340,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,90.76,1000,2.3,1.570796,1958,-42.7375,146.2625
7341,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,89.58,1000,3.6,1.570796,1815,-41.3875,146.2125
7342,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,83.64,1000,3.6,0,1990,-41.7875,145.8125
7343,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,83.12,1000,2.3,1.570796,3143,-41.2875,146.1125
7344,Southern Slopes (Tasmania),Southern Slopes (Tasmania),1440,60,79.37,1000,2.3,2.356194,3347,-41.3375,145.4625
